job_title,salary
Product Manager,196153.85 to 200179.49
Product Manager,115641.03 to 119666.67
Data Scientist,172000.0 to 176025.64
Data Scientist,123692.31 to 127717.95
Data Scientist,151871.79 to 155897.44
Data Scientist,111615.38 to 115641.03
Data Scientist,87461.54 to 91487.18
Data Scientist,47205.13 to 51230.77
Associate,216282.05 to 220307.69
Associate,196153.85 to 200179.49
Software Engineer,167974.36 to 172000.0
Data Specialist,55256.41 to 59282.05
Data Specialist,51230.77 to 55256.41
Associate,252512.82 to 256538.46
Associate,188102.56 to 192128.21
Research Engineer,248487.18 to 252512.82
Research Engineer,131743.59 to 135769.23
Data Engineer,79410.26 to 83435.9
Software Engineer,139794.87 to 143820.51
Data Architect,39153.85 to 43179.49
Applied Scientist,155897.44 to 159923.08
Applied Scientist,75384.62 to 79410.26
Applied Scientist,208230.77 to 212256.41
Applied Scientist,95512.82 to 99538.46
AI Engineer,248487.18 to 252512.82
AI Engineer,176025.64 to 180051.28
Software Engineer,280692.31 to 284717.95
Software Engineer,188102.56 to 192128.21
Software Engineer,172000.0 to 176025.64
Cloud Developer,256538.46 to 260564.1
Cloud Developer,127717.95 to 131743.59
Engineering Manager,377307.69 to 381333.33
Engineering Manager,216282.05 to 220307.69
Software Engineer,220307.69 to 224333.33
Consultant,208230.77 to 212256.41
Consultant,147846.15 to 151871.79
Systems Engineer,224333.33 to 228358.97
Systems Engineer,159923.08 to 163948.72
Research Scientist,123692.31 to 127717.95
Research Scientist,87461.54 to 91487.18
Analyst,107589.74 to 111615.38
Analyst,79410.26 to 83435.9
Software Developer,176025.64 to 180051.28
Software Developer,75384.62 to 79410.26
Engineer,91487.18 to 95512.82
Engineer,71358.97 to 75384.62
Software Engineer,43179.49 to 47205.13
Product Manager,292769.23 to 296794.87
Product Manager,135769.23 to 139794.87
Product Designer,292769.23 to 296794.87
Product Designer,135769.23 to 139794.87
Research Scientist,353153.85 to 357179.49
Research Scientist,192128.21 to 196153.85
Machine Learning Engineer,167974.36 to 172000.0
Machine Learning Engineer,123692.31 to 127717.95
Data Scientist,135769.23 to 139794.87
Data Engineer,139794.87 to 143820.51
Data Engineer,200179.49 to 204205.13
Data Engineer,236410.26 to 240435.9
Data Engineer,172000.0 to 176025.64
Data Operations,272641.03 to 276666.67
Data Operations,163948.72 to 167974.36
Data Operations,167974.36 to 172000.0
Data Operations,123692.31 to 127717.95
Product Specialist,244461.54 to 248487.18
Product Specialist,139794.87 to 143820.51
Statistical Programmer,39153.85 to 43179.49
Statistical Programmer,31102.56 to 35128.21
Data Governance Analyst,91487.18 to 95512.82
Data Governance Analyst,63307.69 to 67333.33
Business Analyst,83435.9 to 87461.54
Business Analyst,59282.05 to 63307.69
Data Analyst,119666.67 to 123692.31
Data Analyst,91487.18 to 95512.82
Solution Architect,268615.38 to 272641.03
Solution Architect,147846.15 to 151871.79
Data Modeler,151871.79 to 155897.44
Data Modeler,143820.51 to 147846.15
Analyst,95512.82 to 99538.46
Research Scientist,196153.85 to 200179.49
Research Scientist,103564.1 to 107589.74
Engineer,188102.56 to 192128.21
Engineer,103564.1 to 107589.74
Manager,224333.33 to 228358.97
Analyst,147846.15 to 151871.79
Analyst,87461.54 to 91487.18
Manager,135769.23 to 139794.87
Manager,103564.1 to 107589.74
Associate,159923.08 to 163948.72
Associate,103564.1 to 107589.74
Software Engineer,224333.33 to 228358.97
Data Engineer,155897.44 to 159923.08
Data Engineer,131743.59 to 135769.23
Engineer,204205.13 to 208230.77
Manager,159923.08 to 163948.72
Manager,91487.18 to 95512.82
Data Analyst,127717.95 to 131743.59
Data Scientist,127717.95 to 131743.59
Data Analyst,180051.28 to 184076.92
Data Analyst,139794.87 to 143820.51
Data Analyst,159923.08 to 163948.72
Data Analyst,111615.38 to 115641.03
Data Architect,139794.87 to 143820.51
Data Architect,123692.31 to 127717.95
Full Stack Developer,111615.38 to 115641.03
Full Stack Developer,79410.26 to 83435.9
Manager,143820.51 to 147846.15
Statistician,87461.54 to 91487.18
Statistician,83435.9 to 87461.54
Machine Learning Engineer,200179.49 to 204205.13
Machine Learning Engineer,172000.0 to 176025.64
Data Management Lead,143820.51 to 147846.15
Data Management Lead,103564.1 to 107589.74
Manager,147846.15 to 151871.79
Data Specialist,15000.0 to 19025.64
Data Analyst,123692.31 to 127717.95
Data Analyst,95512.82 to 99538.46
Business Intelligence Analyst,184076.92 to 188102.56
Business Intelligence Analyst,111615.38 to 115641.03
Engineer,264589.74 to 268615.38
Engineer,176025.64 to 180051.28
Postdoctoral Researcher,63307.69 to 67333.33
Postdoctoral Researcher,59282.05 to 63307.69
Associate,172000.0 to 176025.64
Manager,228358.97 to 232384.62
Manager,163948.72 to 167974.36
Engineer,155897.44 to 159923.08
Engineer,107589.74 to 111615.38
DevOps Engineer,119666.67 to 123692.31
DevOps Engineer,71358.97 to 75384.62
Associate,107589.74 to 111615.38
Associate,83435.9 to 87461.54
Analyst,127717.95 to 131743.59
Analyst,103564.1 to 107589.74
Business Intelligence Analyst,119666.67 to 123692.31
Business Intelligence Analyst,87461.54 to 91487.18
Solutions Architect,232384.62 to 236410.26
Solutions Architect,155897.44 to 159923.08
Manager,196153.85 to 200179.49
Manager,176025.64 to 180051.28
Manager,131743.59 to 135769.23
Engineer,268615.38 to 272641.03
Developer,180051.28 to 184076.92
Developer,127717.95 to 131743.59
Data Engineer,167974.36 to 172000.0
Data Engineer,91487.18 to 95512.82
Data Engineer,83435.9 to 87461.54
Architect,172000.0 to 176025.64
Architect,139794.87 to 143820.51
Engineer,260564.1 to 264589.74
Engineer,131743.59 to 135769.23
Analyst,292769.23 to 296794.87
Analyst,163948.72 to 167974.36
Analyst,204205.13 to 208230.77
Analyst,135769.23 to 139794.87
Cloud Engineer,155897.44 to 159923.08
Cloud Engineer,71358.97 to 75384.62
Software Engineer,232384.62 to 236410.26
Software Engineer,87461.54 to 91487.18
MLOps Engineer,212256.41 to 216282.05
MLOps Engineer,131743.59 to 135769.23
Data Engineer,135769.23 to 139794.87
Data Engineer,111615.38 to 115641.03
Analyst,59282.05 to 63307.69
Business Analyst,232384.62 to 236410.26
Business Analyst,147846.15 to 151871.79
Software Engineer,333025.64 to 337051.28
Applied Scientist,256538.46 to 260564.1
Applied Scientist,147846.15 to 151871.79
Applied Scientist,212256.41 to 216282.05
Applied Scientist,127717.95 to 131743.59
Machine Learning Engineer,288743.59 to 292769.23
Machine Learning Engineer,176025.64 to 180051.28
AI Architect,280692.31 to 284717.95
AI Architect,163948.72 to 167974.36
AI Architect,236410.26 to 240435.9
AI Architect,135769.23 to 139794.87
Data Scientist,159923.08 to 163948.72
Data Scientist,719487.18 to 723512.82
Data Analyst,147846.15 to 151871.79
Data Engineer,248487.18 to 252512.82
Data Engineer,196153.85 to 200179.49
AI Engineer,151871.79 to 155897.44
AI Engineer,135769.23 to 139794.87
Machine Learning Engineer,224333.33 to 228358.97
Machine Learning Engineer,155897.44 to 159923.08
Machine Learning Engineer,163948.72 to 167974.36
Machine Learning Engineer,115641.03 to 119666.67
Research Engineer,244461.54 to 248487.18
Research Engineer,159923.08 to 163948.72
Software Engineer,244461.54 to 248487.18
Software Engineer,159923.08 to 163948.72
Solutions Architect,256538.46 to 260564.1
Solutions Architect,176025.64 to 180051.28
Engineer,200179.49 to 204205.13
Engineer,115641.03 to 119666.67
Software Engineer,260564.1 to 264589.74
Machine Learning Engineer,361205.13 to 365230.77
