"Research Analyst","Product Designer"
"DataOps Engineer","Applied Machine Learning Scientist"
"Decision Scientist","Safety Data Management Specialist"
"Analytics Lead","Data Strategy Manager"
"Applied AI ML Lead","Financial Data Analyst"
"Autonomous Vehicle Technician","Solutions Engineer"
"Data Quality Lead","Data Operations Manager"
"Enterprise Account Executive","Marketing Analyst"
"Customer Success Manager","Stage"
"Principal Data Scientist","Data Strategy Lead"
