job_xp,salary
Software Developer (MI),174571.48 to 180079.99
Data Lead (SE),174571.48 to 180079.99
Systems Engineer (SE),174571.48 to 180079.99
Analytics Engineer (SE),174571.48 to 180079.99
Engineer (EN),174571.48 to 180079.99
Full Stack Engineer (MI),174571.48 to 180079.99
Engineer (EX),174571.48 to 180079.99
Machine Learning Engineer (SE),174571.48 to 180079.99
Research Engineer (EN),174571.48 to 180079.99
Solutions Engineer (MI),174571.48 to 180079.99
Data Integration Developer (SE),174571.48 to 180079.99
Data Operations Specialist (EX),174571.48 to 180079.99
AI Engineer (EN),174571.48 to 180079.99
Site Reliability Engineer (SE),174571.48 to 180079.99
Quantitative Analyst (EX),174571.48 to 180079.99
Business Analyst (MI),174571.48 to 180079.99
Data Analyst (EN),174571.48 to 180079.99
Technical Lead (SE),174571.48 to 180079.99
Data Scientist (EX),174571.48 to 180079.99
AI Engineer (SE),174571.48 to 180079.99
Data Engineer (SE),174571.48 to 180079.99
Principal Software Architect (SE),174571.48 to 180079.99
Machine Learning Software Engineer (SE),174571.48 to 180079.99
Business Intelligence Engineer (SE),174571.48 to 180079.99
Data Manager (MI),174571.48 to 180079.99
AI Scientist (SE),174571.48 to 180079.99
Analytics Engineer (MI),174571.48 to 180079.99
Business Intelligence (EX),174571.48 to 180079.99
Consultant (MI),174571.48 to 180079.99
Data Engineer (EN),174571.48 to 180079.99
Associate (MI),174571.48 to 180079.99
Machine Learning Scientist (EN),174571.48 to 180079.99
Business Intelligence Analyst (EX),174571.48 to 180079.99
Lead Engineer (SE),174571.48 to 180079.99
Data Governance (EX),174571.48 to 180079.99
Data Analyst (SE),174571.48 to 180079.99
Data Scientist (SE),174571.48 to 180079.99
Applied Scientist (SE),174571.48 to 180079.99
Data Analytics Manager (MI),174571.48 to 180079.99
Engineering Manager (SE),174571.48 to 180079.99
Manager (MI),174571.48 to 180079.99
Head of Data (EX),174571.48 to 180079.99
Algorithm Developer (MI),174571.48 to 180079.99
Developer (EN),174571.48 to 180079.99
Analytics Engineer (EX),174571.48 to 180079.99
Artificial Intelligence Engineer (SE),174571.48 to 180079.99
Solutions Engineer (SE),174571.48 to 180079.99
Analyst (EN),174571.48 to 180079.99
Data Integration Engineer (EX),174571.48 to 180079.99
Analyst (SE),174571.48 to 180079.99
Cloud Engineer (SE),174571.48 to 180079.99
Software Engineer (EN),174571.48 to 180079.99
Machine Learning Engineer (MI),174571.48 to 180079.99
Product Manager (SE),174571.48 to 180079.99
Product Manager (MI),174571.48 to 180079.99
Analyst (EX),174571.48 to 180079.99
Software Development Engineer (MI),174571.48 to 180079.99
Data Analytics Lead (SE),174571.48 to 180079.99
Machine Learning Developer (EN),174571.48 to 180079.99
Risk Analyst (EX),174571.48 to 180079.99
Data Analyst (EX),174571.48 to 180079.99
AI Scientist (MI),174571.48 to 180079.99
Business Data Analyst (SE),174571.48 to 180079.99
Machine Learning Infrastructure Engineer (SE),174571.48 to 180079.99
Software Development Engineer (SE),174571.48 to 180079.99
Backend Engineer (MI),174571.48 to 180079.99
Data Developer (SE),174571.48 to 180079.99
Developer (MI),174571.48 to 180079.99
Data Engineer (MI),174571.48 to 180079.99
Data Operations Analyst (SE),174571.48 to 180079.99
Machine Learning Performance Engineer (SE),174571.48 to 180079.99
Data Analytics Team Lead (SE),174571.48 to 180079.99
Research Analyst (SE),174571.48 to 180079.99
Research Engineer (MI),174571.48 to 180079.99
Software Engineer (EX),174571.48 to 180079.99
Engineering Manager (MI),174571.48 to 180079.99
Consultant (SE),174571.48 to 180079.99
Solution Architect (SE),174571.48 to 180079.99
Backend Engineer (SE),174571.48 to 180079.99
Data Manager (SE),174571.48 to 180079.99
Data Operations Engineer (MI),174571.48 to 180079.99
Data Manager (EX),174571.48 to 180079.99
Research Engineer (SE),174571.48 to 180079.99
Data Architect (MI),174571.48 to 180079.99
Platform Engineer (SE),174571.48 to 180079.99
Manager (SE),174571.48 to 180079.99
Engineer (SE),174571.48 to 180079.99
Research Scientist (EN),174571.48 to 180079.99
Data Lead (EX),174571.48 to 180079.99
Manager (EX),174571.48 to 180079.99
Machine Learning Engineer (EN),174571.48 to 180079.99
Enterprise Account Executive (EX),174571.48 to 180079.99
Account Executive (EX),174571.48 to 180079.99
Python Developer (SE),174571.48 to 180079.99
Research Scientist (SE),174571.48 to 180079.99
BI Analyst (SE),174571.48 to 180079.99
MLOps Engineer (SE),174571.48 to 180079.99
Business Intelligence Analyst (SE),174571.48 to 180079.99
Platform Engineer (MI),174571.48 to 180079.99
Engineer (MI),174571.48 to 180079.99
Business Intelligence (SE),174571.48 to 180079.99
Staff Data Analyst (MI),174571.48 to 180079.99
Data Product Owner (SE),174571.48 to 180079.99
Data Infrastructure Engineer (SE),174571.48 to 180079.99
Business Intelligence Engineer (MI),174571.48 to 180079.99
AI Specialist (SE),174571.48 to 180079.99
Data Product Manager (SE),174571.48 to 180079.99
Business Analyst (SE),174571.48 to 180079.99
Developer (SE),174571.48 to 180079.99
Risk Analyst (MI),174571.48 to 180079.99
AI Product Owner (MI),174571.48 to 180079.99
Data Engineer (EX),174571.48 to 180079.99
Data Management Analyst (EN),174571.48 to 180079.99
Tech Lead (SE),174571.48 to 180079.99
BI Developer (SE),174571.48 to 180079.99
Data Product Manager (MI),174571.48 to 180079.99
Associate (SE),174571.48 to 180079.99
Quantitative Developer (SE),174571.48 to 180079.99
Applied Scientist (MI),174571.48 to 180079.99
Data Modeler (SE),174571.48 to 180079.99
Full Stack Developer (SE),174571.48 to 180079.99
Data Modeler (MI),174571.48 to 180079.99
Research Analyst (EN),174571.48 to 180079.99
Business Intelligence Specialist (SE),174571.48 to 180079.99
Data Governance Analyst (MI),174571.48 to 180079.99
Machine Learning Architect (SE),174571.48 to 180079.99
Member of Technical Staff (SE),174571.48 to 180079.99
Systems Engineer (MI),174571.48 to 180079.99
Solutions Architect (EX),174571.48 to 180079.99
Software Developer (SE),174571.48 to 180079.99
MLOps Engineer (MI),174571.48 to 180079.99
Cloud Database Engineer (SE),174571.48 to 180079.99
Data Integration Engineer (SE),174571.48 to 180079.99
Business Analyst (EN),174571.48 to 180079.99
Business Intelligence (MI),174571.48 to 180079.99
Security Engineer (MI),174571.48 to 180079.99
Business Intelligence Analyst (EN),174571.48 to 180079.99
Prompt Engineer (SE),174571.48 to 180079.99
Data Governance Manager (MI),174571.48 to 180079.99
Solutions Architect (MI),174571.48 to 180079.99
Site Reliability Engineer (MI),174571.48 to 180079.99
Product Designer (SE),174571.48 to 180079.99
Business Intelligence Developer (EX),174571.48 to 180079.99
Decision Scientist (SE),174571.48 to 180079.99
Product Analyst (SE),174571.48 to 180079.99
Data Governance Specialist (SE),174571.48 to 180079.99
Data Platform Engineer (MI),174571.48 to 180079.99
Artificial Intelligence Engineer (MI),174571.48 to 180079.99
Cloud Data Engineer (EN),174571.48 to 180079.99
Data Visualization Engineer (SE),174571.48 to 180079.99
Computer Vision Engineer (SE),174571.48 to 180079.99
Applied Data Scientist (SE),174571.48 to 180079.99
Principal Statistical Programmer (SE),174571.48 to 180079.99
Statistical Programmer (SE),174571.48 to 180079.99
Product Designer (MI),174571.48 to 180079.99
Full Stack Developer (MI),174571.48 to 180079.99
Statistical Programmer (MI),174571.48 to 180079.99
Lead Analyst (SE),174571.48 to 180079.99
Data Team Lead (SE),174571.48 to 180079.99
Data Governance (SE),174571.48 to 180079.99
Business Intelligence (EN),174571.48 to 180079.99
Software Development Engineer (EN),174571.48 to 180079.99
Data Governance Analyst (SE),174571.48 to 180079.99
Data Specialist (MI),174571.48 to 180079.99
Business Intelligence Developer (MI),174571.48 to 180079.99
BI Analyst (EN),174571.48 to 180079.99
Machine Learning Researcher (MI),174571.48 to 180079.99
Head of AI (EX),174571.48 to 180079.99
QA Engineer (SE),174571.48 to 180079.99
Machine Learning Researcher (SE),174571.48 to 180079.99
Infrastructure Engineer (SE),174571.48 to 180079.99
Cloud Engineer (MI),174571.48 to 180079.99
Stage (SE),174571.48 to 180079.99
Decision Scientist (MI),174571.48 to 180079.99
AI Engineer (EX),174571.48 to 180079.99
Quantitative Analyst (MI),174571.48 to 180079.99
DataOps Engineer (SE),174571.48 to 180079.99
Data Pipeline Engineer (SE),174571.48 to 180079.99
Algorithm Developer (EN),174571.48 to 180079.99
Statistician (SE),174571.48 to 180079.99
Data Operations Analyst (MI),174571.48 to 180079.99
Business Intelligence Developer (SE),174571.48 to 180079.99
Data Management Lead (SE),174571.48 to 180079.99
Data Strategist (SE),174571.48 to 180079.99
NLP Engineer (SE),174571.48 to 180079.99
Director of Business Intelligence (EX),174571.48 to 180079.99
Data Strategist (MI),174571.48 to 180079.99
Developer Advocate (MI),174571.48 to 180079.99
Data Operations Manager (MI),174571.48 to 180079.99
Platform Engineer (EX),174571.48 to 180079.99
AI Lead (SE),174571.48 to 180079.99
Bear Robotics (SE),174571.48 to 180079.99
Data Strategy Lead (SE),174571.48 to 180079.99
Robotics Engineer (MI),174571.48 to 180079.99
Business Intelligence Lead (SE),174571.48 to 180079.99
Data Quality Analyst (EN),174571.48 to 180079.99
AI Researcher (MI),174571.48 to 180079.99
Computational Biologist (SE),174571.48 to 180079.99
Computational Biologist (MI),174571.48 to 180079.99
Product Designer (EN),174571.48 to 180079.99
Applied Scientist (EN),174571.48 to 180079.99
Software Engineer (SE),169231.46 to 174571.48
Engineer (SE),169231.46 to 174571.48
Data Engineer (SE),169231.46 to 174571.48
Site Reliability Engineer (SE),169231.46 to 174571.48
Business Intelligence (MI),169231.46 to 174571.48
Data Scientist (SE),169231.46 to 174571.48
Machine Learning Engineer (SE),169231.46 to 174571.48
Data Engineer (EX),169231.46 to 174571.48
Data Scientist (MI),169231.46 to 174571.48
Software Engineer (MI),169231.46 to 174571.48
Manager (SE),169231.46 to 174571.48
Manager (MI),169231.46 to 174571.48
Associate (MI),169231.46 to 174571.48
Data Architect (SE),169231.46 to 174571.48
Data Analyst (SE),169231.46 to 174571.48
Analytics Engineer (MI),169231.46 to 174571.48
Data Engineer (MI),169231.46 to 174571.48
Engineer (MI),169231.46 to 174571.48
Product Analyst (SE),169231.46 to 174571.48
Machine Learning Engineer (MI),169231.46 to 174571.48
Business Analyst (SE),169231.46 to 174571.48
Analyst (SE),169231.46 to 174571.48
Director of Machine Learning (EX),169231.46 to 174571.48
Data Analyst (MI),169231.46 to 174571.48
Data Specialist (MI),169231.46 to 174571.48
AI Software Engineer (SE),169231.46 to 174571.48
Power BI Developer (MI),169231.46 to 174571.48
Data Product Owner (SE),169231.46 to 174571.48
AI Scientist (SE),169231.46 to 174571.48
Analytics Engineer (SE),169231.46 to 174571.48
Associate (SE),169231.46 to 174571.48
Consultant (MI),169231.46 to 174571.48
Solutions Engineer (MI),169231.46 to 174571.48
Research Engineer (SE),169231.46 to 174571.48
Data Product Manager (SE),169231.46 to 174571.48
Business Intelligence Engineer (MI),169231.46 to 174571.48
Computational Biologist (SE),169231.46 to 174571.48
Software Development Engineer (MI),169231.46 to 174571.48
Systems Engineer (SE),169231.46 to 174571.48
Architect (SE),169231.46 to 174571.48
Solutions Architect (SE),169231.46 to 174571.48
DevOps Engineer (MI),169231.46 to 174571.48
Data Developer (MI),169231.46 to 174571.48
Data Team Lead (SE),169231.46 to 174571.48
Head of Data (EX),169231.46 to 174571.48
Principal Data Scientist (SE),169231.46 to 174571.48
Research Scientist (SE),169231.46 to 174571.48
Business Intelligence Developer (SE),169231.46 to 174571.48
Data Integration Developer (SE),169231.46 to 174571.48
Developer (SE),169231.46 to 174571.48
Systems Engineer (MI),169231.46 to 174571.48
Software Engineer (EX),169231.46 to 174571.48
Data Specialist (EN),169231.46 to 174571.48
Applied Scientist (SE),169231.46 to 174571.48
Software Development Engineer (SE),169231.46 to 174571.48
Data Scientist (EX),169231.46 to 174571.48
Engineer (EN),169231.46 to 174571.48
Software Engineer (EN),169231.46 to 174571.48
Product Manager (SE),169231.46 to 174571.48
Data Governance Specialist (SE),169231.46 to 174571.48
Applied Scientist (MI),169231.46 to 174571.48
Principal Statistical Programmer (SE),169231.46 to 174571.48
Machine Learning Engineer (EN),169231.46 to 174571.48
Data Specialist (SE),169231.46 to 174571.48
Business Intelligence (SE),169231.46 to 174571.48
Decision Scientist (MI),169231.46 to 174571.48
Cloud Engineer (MI),169231.46 to 174571.48
Data Engineer (EN),169231.46 to 174571.48
Software Development Engineer (EN),169231.46 to 174571.48
Data Scientist (EN),169231.46 to 174571.48
Analytics Specialist (EX),169231.46 to 174571.48
Postdoctoral Researcher (SE),169231.46 to 174571.48
AI Architect (SE),169231.46 to 174571.48
Research Engineer (MI),169231.46 to 174571.48
Research Scientist (EN),169231.46 to 174571.48
Machine Learning Scientist (SE),169231.46 to 174571.48
Full Stack Engineer (EX),169231.46 to 174571.48
Applied Machine Learning Scientist (MI),169231.46 to 174571.48
Computer Vision Engineer (MI),169231.46 to 174571.48
DataOps Engineer (SE),169231.46 to 174571.48
Software Developer (SE),169231.46 to 174571.48
Research Scientist (MI),169231.46 to 174571.48
Postdoctoral Researcher (MI),169231.46 to 174571.48
Data Governance (EX),169231.46 to 174571.48
Research Engineer (EN),169231.46 to 174571.48
Data Manager (SE),169231.46 to 174571.48
Platform Engineer (EN),169231.46 to 174571.48
Solution Engineer (SE),169231.46 to 174571.48
QA Engineer (SE),169231.46 to 174571.48
Developer (MI),169231.46 to 174571.48
Software Developer (MI),169231.46 to 174571.48
Data Analytics Specialist (SE),169231.46 to 174571.48
Data Analyst (EN),169231.46 to 174571.48
Lead Data Scientist (SE),169231.46 to 174571.48
BI Analyst (MI),169231.46 to 174571.48
Decision Scientist (SE),169231.46 to 174571.48
Business Intelligence Engineer (EX),169231.46 to 174571.48
Business Intelligence Engineer (SE),169231.46 to 174571.48
Consultant (SE),169231.46 to 174571.48
AI Specialist (SE),169231.46 to 174571.48
AI Engineer (SE),169231.46 to 174571.48
Data Lead (SE),169231.46 to 174571.48
Data Analytics Lead (SE),169231.46 to 174571.48
Data Visualization Analyst (MI),169231.46 to 174571.48
Business Intelligence Developer (MI),169231.46 to 174571.48
Business Intelligence Developer (EN),169231.46 to 174571.48
Data Management Analyst (SE),169231.46 to 174571.48
ETL Engineer (MI),169231.46 to 174571.48
Data Visualization Engineer (MI),169231.46 to 174571.48
Product Designer (SE),169231.46 to 174571.48
Data Integrator (SE),169231.46 to 174571.48
Data Governance (SE),169231.46 to 174571.48
Data Visualization Specialist (MI),169231.46 to 174571.48
Data Management Analyst (EN),169231.46 to 174571.48
Data Integration Analyst (EN),169231.46 to 174571.48
Research Analyst (SE),169231.46 to 174571.48
Business Analyst (EN),169231.46 to 174571.48
Data Quality Analyst (SE),169231.46 to 174571.48
Solution Architect (SE),169231.46 to 174571.48
AI Engineer (MI),169231.46 to 174571.48
Analyst (MI),169231.46 to 174571.48
Platform Engineer (SE),169231.46 to 174571.48
Data Visualization Specialist (SE),169231.46 to 174571.48
Product Manager (MI),169231.46 to 174571.48
Bioinformatics Scientist (SE),169231.46 to 174571.48
Data Integration Specialist (SE),169231.46 to 174571.48
Site Reliability Engineer (MI),169231.46 to 174571.48
Machine Learning Infrastructure Engineer (SE),169231.46 to 174571.48
Machine Learning Infrastructure Engineer (MI),169231.46 to 174571.48
Cloud Engineer (SE),169231.46 to 174571.48
Lead Engineer (SE),169231.46 to 174571.48
Bioinformatician (SE),169231.46 to 174571.48
Data Analytics Specialist (MI),169231.46 to 174571.48
Data Modeler (SE),169231.46 to 174571.48
Data Integration Engineer (SE),169231.46 to 174571.48
Research Analyst (EN),169231.46 to 174571.48
Business Intelligence Analyst (SE),169231.46 to 174571.48
Software Architect (SE),169231.46 to 174571.48
Machine Learning Engineer (EX),169231.46 to 174571.48
Data Visualization Developer (MI),169231.46 to 174571.48
Technical Writer (SE),169231.46 to 174571.48
Data Product Manager (MI),169231.46 to 174571.48
Machine Learning Architect (SE),169231.46 to 174571.48
Computer Vision Engineer (SE),169231.46 to 174571.48
Backend Engineer (SE),169231.46 to 174571.48
Engineering Manager (MI),169231.46 to 174571.48
Data Governance Analyst (SE),169231.46 to 174571.48
BI Developer (SE),169231.46 to 174571.48
Data Quality Lead (SE),169231.46 to 174571.48
Data Analyst (EX),169231.46 to 174571.48
Business Analyst (EX),169231.46 to 174571.48
Data Governance Lead (SE),169231.46 to 174571.48
Data Developer (SE),169231.46 to 174571.48
Lead Analyst (SE),169231.46 to 174571.48
Analyst (EX),169231.46 to 174571.48
Analyst (EN),169231.46 to 174571.48
Machine Learning Researcher (SE),169231.46 to 174571.48
Machine Learning Researcher (MI),169231.46 to 174571.48
MLOps Engineer (MI),169231.46 to 174571.48
Analytics Lead (SE),169231.46 to 174571.48
Cloud Database Engineer (SE),169231.46 to 174571.48
Insight Analyst (SE),169231.46 to 174571.48
Data Visualization Engineer (SE),169231.46 to 174571.48
Data Strategist (MI),169231.46 to 174571.48
Member of Technical Staff (SE),169231.46 to 174571.48
Data Modeler (MI),169231.46 to 174571.48
Data Governance Architect (SE),169231.46 to 174571.48
Developer Advocate (SE),169231.46 to 174571.48
Machine Learning Scientist (MI),169231.46 to 174571.48
Data Architect (MI),169231.46 to 174571.48
Data Integration Engineer (EN),169231.46 to 174571.48
Data Infrastructure Engineer (SE),169231.46 to 174571.48
Quantitative Researcher (MI),169231.46 to 174571.48
Solutions Engineer (SE),169231.46 to 174571.48
Data Pipeline Engineer (SE),169231.46 to 174571.48
Machine Learning Software Engineer (SE),169231.46 to 174571.48
Data Platform Engineer (SE),169231.46 to 174571.48
Manager (EX),169231.46 to 174571.48
Cloud Database Administrator (MI),169231.46 to 174571.48
MLOps Engineer (SE),169231.46 to 174571.48
Associate (EX),169231.46 to 174571.48
Data Product Manager (EX),169231.46 to 174571.48
Backend Engineer (MI),169231.46 to 174571.48
Lead Data Analyst (SE),169231.46 to 174571.48
AI Engineer (EN),169231.46 to 174571.48
BI Engineer (SE),169231.46 to 174571.48
Product Manager (EX),169231.46 to 174571.48
Analytics Engineer (EX),169231.46 to 174571.48
Principal Data Analyst (SE),169231.46 to 174571.48
Head of AI (EX),169231.46 to 174571.48
Platform Engineer (MI),169231.46 to 174571.48
Full Stack Developer (SE),169231.46 to 174571.48
Robotics Engineer (MI),169231.46 to 174571.48
AI Developer (MI),169231.46 to 174571.48
Data Architect (EN),169231.46 to 174571.48
Data Management Specialist (SE),169231.46 to 174571.48
AI Developer (SE),169231.46 to 174571.48
Data Integrity Analyst (EN),169231.46 to 174571.48
Product Owner (MI),169231.46 to 174571.48
DevOps Engineer (SE),169231.46 to 174571.48
Analytics Engineer (EN),169231.46 to 174571.48
Full Stack Engineer (SE),169231.46 to 174571.48
Frontend Engineer (SE),169231.46 to 174571.48
Engineer (EX),169231.46 to 174571.48
Full Stack Engineer (MI),169231.46 to 174571.48
Data Analytics Manager (MI),169231.46 to 174571.48
Developer (EX),169231.46 to 174571.48
Tech Lead (SE),169231.46 to 174571.48
Machine Learning Quality Engineer (MI),169231.46 to 174571.48
Machine Learning Engineer (SE),164054.8 to 169231.46
Software Engineer (SE),164054.8 to 169231.46
Data Engineer (MI),164054.8 to 169231.46
Data Engineer (SE),164054.8 to 169231.46
Data Scientist (SE),164054.8 to 169231.46
Research Scientist (SE),164054.8 to 169231.46
Software Developer (SE),164054.8 to 169231.46
Engineering Manager (MI),164054.8 to 169231.46
Data Analyst (SE),164054.8 to 169231.46
Analyst (SE),164054.8 to 169231.46
Quantitative Analyst (SE),164054.8 to 169231.46
Business Analyst (SE),164054.8 to 169231.46
Data Architect (SE),164054.8 to 169231.46
Data Manager (SE),164054.8 to 169231.46
BI Analyst (SE),164054.8 to 169231.46
Machine Learning Engineer (MI),164054.8 to 169231.46
Solutions Architect (SE),164054.8 to 169231.46
Software Development Engineer (SE),164054.8 to 169231.46
Manager (MI),164054.8 to 169231.46
Systems Engineer (MI),164054.8 to 169231.46
Developer (SE),164054.8 to 169231.46
Data Analyst (EN),164054.8 to 169231.46
Business Intelligence Analyst (SE),164054.8 to 169231.46
Engineer (SE),164054.8 to 169231.46
Machine Learning Scientist (SE),164054.8 to 169231.46
Platform Engineer (SE),164054.8 to 169231.46
Engineer (MI),164054.8 to 169231.46
Data Scientist (MI),164054.8 to 169231.46
Software Engineer (MI),164054.8 to 169231.46
Big Data Developer (SE),164054.8 to 169231.46
Machine Learning Engineer (EX),164054.8 to 169231.46
Consultant (MI),164054.8 to 169231.46
Business Intelligence Developer (SE),164054.8 to 169231.46
Product Manager (SE),164054.8 to 169231.46
Business Intelligence Analyst (EN),164054.8 to 169231.46
Data Analyst (MI),164054.8 to 169231.46
Data Engineer (EX),164054.8 to 169231.46
Analyst (MI),164054.8 to 169231.46
Analyst (EN),164054.8 to 169231.46
Engineering Manager (SE),164054.8 to 169231.46
Systems Engineer (SE),164054.8 to 169231.46
Manager (SE),164054.8 to 169231.46
Software Developer (MI),164054.8 to 169231.46
Solution Architect (SE),164054.8 to 169231.46
Applied Scientist (SE),164054.8 to 169231.46
Data Infrastructure Engineer (SE),164054.8 to 169231.46
Data Specialist (SE),164054.8 to 169231.46
Data Developer (MI),164054.8 to 169231.46
Analytics Specialist (SE),164054.8 to 169231.46
Data Operations (EX),164054.8 to 169231.46
Associate (MI),164054.8 to 169231.46
Business Intelligence Engineer (MI),164054.8 to 169231.46
Engineer (EN),164054.8 to 169231.46
Data Modeler (SE),164054.8 to 169231.46
AI Engineer (EX),164054.8 to 169231.46
Architect (EX),164054.8 to 169231.46
Data Visualization Analyst (EN),164054.8 to 169231.46
Data Management Analyst (EN),164054.8 to 169231.46
Machine Learning Platform Engineer (SE),164054.8 to 169231.46
AI Engineer (SE),164054.8 to 169231.46
Fullstack Engineer (MI),164054.8 to 169231.46
Developer (MI),164054.8 to 169231.46
Applied Scientist (EN),164054.8 to 169231.46
Software Engineer (EN),164054.8 to 169231.46
Machine Learning Engineer (EN),164054.8 to 169231.46
Research Scientist (EN),164054.8 to 169231.46
Software Engineer (EX),164054.8 to 169231.46
Manager (EX),164054.8 to 169231.46
BI Developer (MI),164054.8 to 169231.46
Business Intelligence (MI),164054.8 to 169231.46
Computer Vision Engineer (SE),164054.8 to 169231.46
AI Developer (SE),164054.8 to 169231.46
Business Intelligence (SE),164054.8 to 169231.46
BI Developer (SE),164054.8 to 169231.46
DevOps Engineer (SE),164054.8 to 169231.46
Analytics Engineer (SE),164054.8 to 169231.46
Research Analyst (SE),164054.8 to 169231.46
Data Operations Analyst (SE),164054.8 to 169231.46
Robotics Software Engineer (EX),164054.8 to 169231.46
Analytics Engineer (MI),164054.8 to 169231.46
Machine Learning Software Engineer (SE),164054.8 to 169231.46
Data Analytics Manager (MI),164054.8 to 169231.46
Product Manager (MI),164054.8 to 169231.46
Data Scientist (EX),164054.8 to 169231.46
Data Product Owner (MI),164054.8 to 169231.46
Business Intelligence Manager (MI),164054.8 to 169231.46
Security Engineer (SE),164054.8 to 169231.46
Research Engineer (SE),164054.8 to 169231.46
Data Scientist (EN),164054.8 to 169231.46
Research Engineer (MI),164054.8 to 169231.46
Machine Learning Specialist (MI),164054.8 to 169231.46
Data Governance Lead (SE),164054.8 to 169231.46
Software Development Engineer (MI),164054.8 to 169231.46
Bioinformatics Scientist (MI),164054.8 to 169231.46
Consultant (SE),164054.8 to 169231.46
Data Manager (MI),164054.8 to 169231.46
Data Analyst (EX),164054.8 to 169231.46
Data Architect (MI),164054.8 to 169231.46
Principal Software Architect (SE),164054.8 to 169231.46
Business Intelligence Developer (EX),164054.8 to 169231.46
AI Engineer (MI),164054.8 to 169231.46
Business Intelligence Engineer (SE),164054.8 to 169231.46
AI Specialist (SE),164054.8 to 169231.46
Research Analyst (EN),164054.8 to 169231.46
Data Management Analyst (SE),164054.8 to 169231.46
Research Scientist (MI),164054.8 to 169231.46
Machine Learning Researcher (SE),164054.8 to 169231.46
MLOps Engineer (MI),164054.8 to 169231.46
Lead Engineer (SE),164054.8 to 169231.46
Power BI Developer (MI),164054.8 to 169231.46
Decision Scientist (SE),164054.8 to 169231.46
Data Visualization Specialist (SE),164054.8 to 169231.46
AI Data Scientist (SE),164054.8 to 169231.46
Cloud Engineer (SE),164054.8 to 169231.46
Business Intelligence Developer (MI),164054.8 to 169231.46
Backend Engineer (SE),164054.8 to 169231.46
Machine Learning Researcher (MI),164054.8 to 169231.46
Data Product Manager (SE),164054.8 to 169231.46
Computational Biologist (SE),164054.8 to 169231.46
Product Analyst (SE),164054.8 to 169231.46
Associate (EX),164054.8 to 169231.46
Data Product Analyst (EN),164054.8 to 169231.46
Data Product Manager (MI),164054.8 to 169231.46
Data Governance (EX),164054.8 to 169231.46
NLP Engineer (MI),164054.8 to 169231.46
Data Analytics Specialist (SE),164054.8 to 169231.46
Full Stack Engineer (SE),164054.8 to 169231.46
DevOps Engineer (MI),164054.8 to 169231.46
AI Scientist (SE),164054.8 to 169231.46
Data Modeler (MI),164054.8 to 169231.46
Data Specialist (MI),164054.8 to 169231.46
Architect (SE),164054.8 to 169231.46
Machine Learning Architect (SE),164054.8 to 169231.46
Data Engineer (EN),164054.8 to 169231.46
Business Intelligence (EN),164054.8 to 169231.46
ETL Developer (MI),164054.8 to 169231.46
Data Product Owner (EX),164054.8 to 169231.46
Data Analytics Lead (SE),164054.8 to 169231.46
Data Visualization Specialist (MI),164054.8 to 169231.46
Computational Scientist (MI),164054.8 to 169231.46
Data Governance (SE),164054.8 to 169231.46
BI Engineer (MI),164054.8 to 169231.46
Business Intelligence Engineer (EN),164054.8 to 169231.46
Business Intelligence Engineer (EX),164054.8 to 169231.46
Data Visualization Engineer (SE),164054.8 to 169231.46
QA Engineer (SE),164054.8 to 169231.46
Fullstack Engineer (SE),164054.8 to 169231.46
Data Operations (SE),164054.8 to 169231.46
Machine Learning Infrastructure Engineer (SE),164054.8 to 169231.46
Data Analytics Consultant (MI),164054.8 to 169231.46
Machine Learning Infrastructure Engineer (MI),164054.8 to 169231.46
AI Developer (EN),164054.8 to 169231.46
Power BI Developer (SE),164054.8 to 169231.46
Associate (SE),164054.8 to 169231.46
Data Visualization Developer (MI),164054.8 to 169231.46
Solutions Engineer (MI),164054.8 to 169231.46
Quantitative Researcher (MI),164054.8 to 169231.46
Quantitative Analyst (MI),164054.8 to 169231.46
Data Developer (SE),164054.8 to 169231.46
Principal Statistical Programmer (SE),164054.8 to 169231.46
Prompt Engineer (SE),164054.8 to 169231.46
Data Lead (SE),164054.8 to 169231.46
Solution Engineer (SE),164054.8 to 169231.46
Machine Learning Scientist (MI),164054.8 to 169231.46
Head of Data (EX),164054.8 to 169231.46
Research Engineer (EN),164054.8 to 169231.46
AI Architect (SE),164054.8 to 169231.46
Data Architect (EX),164054.8 to 169231.46
Manager (EN),164054.8 to 169231.46
AI Lead (SE),164054.8 to 169231.46
Infrastructure Engineer (SE),164054.8 to 169231.46
Robotics Engineer (SE),164054.8 to 169231.46
BI Engineer (SE),164054.8 to 169231.46
Business Intelligence Analyst (MI),164054.8 to 169231.46
Statistical Programmer (SE),164054.8 to 169231.46
Backend Engineer (MI),164054.8 to 169231.46
Analytics Engineer (SE),159036.48 to 164054.8
Business Intelligence Engineer (SE),159036.48 to 164054.8
Data Analyst (SE),159036.48 to 164054.8
Data Architect (SE),159036.48 to 164054.8
Software Engineer (SE),159036.48 to 164054.8
Machine Learning Engineer (SE),159036.48 to 164054.8
Research Engineer (MI),159036.48 to 164054.8
Data Scientist (SE),159036.48 to 164054.8
Product Manager (SE),159036.48 to 164054.8
Developer (SE),159036.48 to 164054.8
Data Manager (SE),159036.48 to 164054.8
Software Engineer (MI),159036.48 to 164054.8
DevOps Engineer (SE),159036.48 to 164054.8
Software Developer (MI),159036.48 to 164054.8
Data Engineer (MI),159036.48 to 164054.8
Data Infrastructure Engineer (SE),159036.48 to 164054.8
