job_xp,salary
Engineer (SE),457331.16 to 471762.01
Manager (SE),457331.16 to 471762.01
Research Analyst (SE),457331.16 to 471762.01
Data Scientist (MI),457331.16 to 471762.01
Data Engineer (MI),457331.16 to 471762.01
Data Scientist (SE),457331.16 to 471762.01
Software Engineer (SE),457331.16 to 471762.01
Quantitative Researcher (SE),457331.16 to 471762.01
Quantitative Analyst (EN),457331.16 to 471762.01
Head of Data (EX),457331.16 to 471762.01
Business Intelligence (SE),457331.16 to 471762.01
Software Engineer (MI),457331.16 to 471762.01
Product Manager (MI),457331.16 to 471762.01
Machine Learning Developer (SE),457331.16 to 471762.01
Platform Engineer (SE),457331.16 to 471762.01
Site Reliability Engineer (SE),457331.16 to 471762.01
Data Engineer (EX),457331.16 to 471762.01
Engineer (MI),457331.16 to 471762.01
Engineering Manager (MI),457331.16 to 471762.01
AI Developer (SE),457331.16 to 471762.01
Engineer (SE),443341.73 to 457331.16
Platform Engineer (SE),443341.73 to 457331.16
Machine Learning Engineer (SE),443341.73 to 457331.16
Software Engineer (MI),443341.73 to 457331.16
Engineer (MI),443341.73 to 457331.16
Engineering Manager (MI),443341.73 to 457331.16
AI Scientist (SE),443341.73 to 457331.16
Research Engineer (SE),443341.73 to 457331.16
Engineer (EX),443341.73 to 457331.16
Manager (SE),443341.73 to 457331.16
Research Scientist (MI),443341.73 to 457331.16
AI Architect (SE),443341.73 to 457331.16
Head of Machine Learning (EX),443341.73 to 457331.16
AI Specialist (MI),443341.73 to 457331.16
Systems Engineer (SE),443341.73 to 457331.16
Manager (SE),429780.23 to 443341.73
Data Architect (SE),429780.23 to 443341.73
Engineer (EX),429780.23 to 443341.73
Manager (MI),429780.23 to 443341.73
Software Engineer (SE),429780.23 to 443341.73
Research Engineer (SE),429780.23 to 443341.73
Research Scientist (MI),429780.23 to 443341.73
Engineer (MI),429780.23 to 443341.73
Machine Learning Engineer (MI),429780.23 to 443341.73
Research Scientist (SE),429780.23 to 443341.73
Research Engineer (MI),429780.23 to 443341.73
Head of Data (EX),429780.23 to 443341.73
AI Engineer (EN),429780.23 to 443341.73
AI Engineer (SE),429780.23 to 443341.73
Engineering Manager (SE),429780.23 to 443341.73
Engineer (SE),429780.23 to 443341.73
Systems Engineer (SE),429780.23 to 443341.73
Engineering Manager (MI),429780.23 to 443341.73
AI Engineer (MI),429780.23 to 443341.73
Software Engineer (MI),429780.23 to 443341.73
Machine Learning Engineer (SE),429780.23 to 443341.73
Head of Machine Learning (EX),429780.23 to 443341.73
Data Analyst (EN),429780.23 to 443341.73
Associate (MI),429780.23 to 443341.73
Head of AI (EX),429780.23 to 443341.73
Data Analyst (MI),429780.23 to 443341.73
Analytics Engineer (MI),429780.23 to 443341.73
Research Scientist (EN),429780.23 to 443341.73
Engineer (SE),416633.57 to 429780.23
Head of AI (EX),416633.57 to 429780.23
Site Reliability Engineer (SE),416633.57 to 429780.23
Manager (SE),416633.57 to 429780.23
Software Engineer (MI),416633.57 to 429780.23
Machine Learning Engineer (SE),416633.57 to 429780.23
Research Scientist (MI),416633.57 to 429780.23
Applied Scientist (SE),416633.57 to 429780.23
Manager (MI),416633.57 to 429780.23
Research Scientist (SE),416633.57 to 429780.23
Machine Learning Architect (SE),416633.57 to 429780.23
Architect (SE),416633.57 to 429780.23
Systems Engineer (MI),416633.57 to 429780.23
Engineering Manager (MI),416633.57 to 429780.23
Machine Learning Engineer (MI),416633.57 to 429780.23
Research Engineer (SE),416633.57 to 429780.23
Research Engineer (MI),416633.57 to 429780.23
Data Scientist (MI),416633.57 to 429780.23
Systems Engineer (SE),416633.57 to 429780.23
Applied Machine Learning Scientist (MI),416633.57 to 429780.23
Robotics Engineer (MI),416633.57 to 429780.23
Software Engineer (SE),416633.57 to 429780.23
Data Scientist (SE),416633.57 to 429780.23
Site Reliability Engineer (MI),416633.57 to 429780.23
AI Architect (SE),416633.57 to 429780.23
AI Scientist (SE),416633.57 to 429780.23
Platform Engineer (SE),403889.05 to 416633.57
Research Engineer (SE),403889.05 to 416633.57
Architect (SE),403889.05 to 416633.57
Data Scientist (SE),403889.05 to 416633.57
Principal Data Scientist (EX),403889.05 to 416633.57
Machine Learning Engineer (SE),403889.05 to 416633.57
Product Manager (SE),403889.05 to 416633.57
Data Product Manager (SE),403889.05 to 416633.57
Applied Scientist (SE),403889.05 to 416633.57
Product Manager (MI),403889.05 to 416633.57
Engineer (SE),403889.05 to 416633.57
Software Engineer (SE),403889.05 to 416633.57
Data Analyst (EN),403889.05 to 416633.57
Head of Data (EX),403889.05 to 416633.57
Manager (SE),403889.05 to 416633.57
Software Development Engineer (SE),403889.05 to 416633.57
Research Engineer (MI),403889.05 to 416633.57
Solutions Architect (SE),403889.05 to 416633.57
Research Scientist (SE),403889.05 to 416633.57
Machine Learning Engineer (MI),403889.05 to 416633.57
Engineer (EX),403889.05 to 416633.57
Data Engineer (SE),403889.05 to 416633.57
Manager (EX),403889.05 to 416633.57
Research Scientist (EN),403889.05 to 416633.57
Research Scientist (MI),403889.05 to 416633.57
Engineering Manager (MI),403889.05 to 416633.57
Account Executive (EX),403889.05 to 416633.57
Engineer (MI),403889.05 to 416633.57
Associate (MI),403889.05 to 416633.57
Data Scientist (EX),403889.05 to 416633.57
Machine Learning Engineer (EX),403889.05 to 416633.57
Software Engineer (MI),403889.05 to 416633.57
Manager (MI),403889.05 to 416633.57
Security Engineer (SE),403889.05 to 416633.57
Data Analytics Lead (SE),403889.05 to 416633.57
Engineering Manager (SE),403889.05 to 416633.57
Applied Scientist (SE),391534.38 to 403889.05
Head of Data (EX),391534.38 to 403889.05
Machine Learning Engineer (SE),391534.38 to 403889.05
Engineer (SE),391534.38 to 403889.05
Consultant (SE),391534.38 to 403889.05
Software Engineer (MI),391534.38 to 403889.05
Machine Learning Engineer (MI),391534.38 to 403889.05
Manager (MI),391534.38 to 403889.05
Data Architect (SE),391534.38 to 403889.05
Research Engineer (MI),391534.38 to 403889.05
AI Engineer (SE),391534.38 to 403889.05
Engineering Manager (MI),391534.38 to 403889.05
Applied Scientist (MI),391534.38 to 403889.05
AI Engineer (MI),391534.38 to 403889.05
AI Architect (SE),391534.38 to 403889.05
Engineer (EX),391534.38 to 403889.05
Analytics Engineering Manager (SE),391534.38 to 403889.05
Product Manager (MI),391534.38 to 403889.05
Product Manager (SE),391534.38 to 403889.05
Software Engineer (SE),391534.38 to 403889.05
Engineering Manager (SE),391534.38 to 403889.05
Data Analytics Lead (SE),391534.38 to 403889.05
Associate (MI),391534.38 to 403889.05
Data Scientist (SE),391534.38 to 403889.05
Data Scientist (MI),391534.38 to 403889.05
Data Engineer (MI),391534.38 to 403889.05
Machine Learning Architect (SE),391534.38 to 403889.05
Data Engineer (EX),391534.38 to 403889.05
Data Architect (SE),379557.63 to 391534.38
Manager (MI),379557.63 to 391534.38
Software Engineer (SE),379557.63 to 391534.38
Engineering Manager (SE),379557.63 to 391534.38
Machine Learning Engineer (MI),379557.63 to 391534.38
Machine Learning Engineer (SE),379557.63 to 391534.38
Research Scientist (MI),379557.63 to 391534.38
Manager (SE),379557.63 to 391534.38
Software Development Engineer (SE),379557.63 to 391534.38
Research Scientist (SE),379557.63 to 391534.38
Engineering Manager (MI),379557.63 to 391534.38
Engineer (SE),379557.63 to 391534.38
Software Engineer (MI),379557.63 to 391534.38
Platform Engineer (SE),379557.63 to 391534.38
Data Engineer (EX),379557.63 to 391534.38
Data Scientist (MI),379557.63 to 391534.38
Research Engineer (SE),379557.63 to 391534.38
Data Analyst (SE),379557.63 to 391534.38
AI Engineer (SE),379557.63 to 391534.38
Analytics Engineer (SE),379557.63 to 391534.38
Data Infrastructure Engineer (SE),379557.63 to 391534.38
Product Manager (SE),379557.63 to 391534.38
Data Engineer (SE),379557.63 to 391534.38
Product Manager (MI),379557.63 to 391534.38
Data Infrastructure Engineer (MI),379557.63 to 391534.38
Head of Data (EX),379557.63 to 391534.38
Product Designer (SE),379557.63 to 391534.38
Engineer (MI),379557.63 to 391534.38
Head of AI (EX),379557.63 to 391534.38
Data Scientist (SE),379557.63 to 391534.38
Architect (SE),379557.63 to 391534.38
Engineer (EX),379557.63 to 391534.38
Data Scientist (EX),379557.63 to 391534.38
Software Engineer (EX),379557.63 to 391534.38
Data Architect (EX),379557.63 to 391534.38
Applied Data Scientist (SE),379557.63 to 391534.38
Product Manager (SE),367947.24 to 379557.63
Data Scientist (SE),367947.24 to 379557.63
AI Architect (SE),367947.24 to 379557.63
Engineering Manager (SE),367947.24 to 379557.63
Manager (SE),367947.24 to 379557.63
Machine Learning Engineer (SE),367947.24 to 379557.63
Software Engineer (SE),367947.24 to 379557.63
Data Engineer (SE),367947.24 to 379557.63
Manager (MI),367947.24 to 379557.63
Architect (SE),367947.24 to 379557.63
Software Development Engineer (SE),367947.24 to 379557.63
Engineer (SE),367947.24 to 379557.63
Engineering Manager (MI),367947.24 to 379557.63
